Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Class
511.35,478.01,84.26,169.20,-747.36,329.40,803.18,-526.43,661.56,370.71,861.74,342.15,-344.49,327.50,270.77,746.74,0
557.56,547.54,959.18,205.80,-299.01,-54.94,842.21,-210.46,560.42,183.92,478.44,-950.34,873.31,700.15,782.85,53.80,1
-603.04,-327.87,-224.73,-872.01,260.30,-995.15,-517.19,161.42,-895.35,-375.85,483.21,-140.62,195.08,-93.19,-171.17,-459.47,0
-512.58,-467.58,-647.76,-458.27,51.60,862.49,33.29,-33.05,-831.97,-179.64,996.27,863.29,939.31,-76.58,-369.65,-160.29,0
526.94,578.52,-666.80,336.83,532.51,-37.06,-165.23,43.09,463.60,437.39,515.29,-887.87,-728.39,909.66,355.08,-942.57,0
432.79,596.29,-764.15,-480.03,98.72,-301.77,546.40,-457.28,621.54,-652.16,-849.82,-680.94,-996.42,862.27,625.83,-803.99,1
362.14,391.51,129.53,-575.12,-323.31,-33.41,-686.88,670.67,-929.20,-966.56,411.09,-720.87,518.53,407.40,-665.15,274.17,0
339.56,540.66,454.02,189.79,-142.88,-406.37,252.49,-951.19,-144.53,656.01,-240.15,855.78,760.34,-89.75,-790.49,204.96,0
-220.22,-464.72,377.96,647.40,589.96,530.47,775.27,198.25,249.16,594.28,881.53,292.77,-177.33,104.90,-557.38,495.07,1
229.01,445.58,-72.78,843.12,-628.33,494.91,930.79,-289.99,218.03,-287.40,219.22,-68.01,-211.80,247.92,828.27,62.42,0
395.88,338.80,-875.70,11.96,72.40,523.06,15.32,568.93,-455.63,522.14,463.71,279.67,-313.54,-597.56,729.50,300.99,1
582.38,316.03,-656.22,836.52,271.83,-249.51,-278.21,771.33,-917.12,644.42,-342.11,388.57,99.67,-529.94,-279.73,707.99,1
410.61,524.00,-286.33,982.45,-315.00,-314.91,92.21,-245.12,-573.55,-242.36,-170.33,-777.65,720.09,-90.06,-601.59,-71.88,0
-382.81,-397.97,324.64,719.00,-329.78,-124.97,727.68,-433.05,297.45,-521.80,-798.06,545.84,-487.37,-211.39,706.41,-21.20,0
-393.25,-339.14,595.09,797.42,860.85,708.07,637.79,804.95,520.70,107.59,863.43,-13.60,964.99,911.89,-999.88,520.26,1
-502.35,-452.12,-58.10,678.66,752.46,-61.10,-579.97,-83.48,404.63,397.66,839.07,-4.76,814.23,863.07,514.59,533.78,0
508.27,356.11,795.87,-700.22,-278.24,-588.09,-74.82,-163.39,93.40,626.82,-509.39,-584.54,-545.04,-262.90,-564.84,-109.35,0
-471.62,-459.11,506.10,370.82,-127.77,-255.82,995.39,-371.10,125.01,-567.19,121.76,312.28,-572.85,164.56,-539.56,-579.13,1
-766.11,-632.54,-483.23,-117.65,672.70,-614.18,220.97,404.68,-547.81,-497.89,662.41,-407.58,-366.76,-555.91,449.64,668.82,1
461.28,618.75,-897.55,666.45,913.56,80.77,-732.62,-156.11,-539.79,166.71,-585.57,396.08,-837.90,62.22,-472.00,-162.80,1
-581.02,-522.56,289.33,75.84,-787.51,431.55,204.89,982.66,-132.67,313.47,-246.47,-886.05,-284.16,-77.93,-740.31,-415.74,1
-478.09,-523.21,395.83,-381.05,-117.03,-466.67,-247.97,390.57,-28.26,271.71,-956.56,-536.61,77.11,450.78,-947.28,936.53,1
-388.94,-561.27,-528.76,-215.13,624.35,562.02,383.14,791.13,-737.15,-344.90,230.61,779.31,-471.39,-442.03,-560.88,640.67,1
-308.03,-575.79,-433.41,-758.43,234.18,-694.60,593.77,-399.62,-364.18,749.12,-153.86,-607.34,97.10,-200.85,-884.86,-476.90,0
471.30,413.99,492.56,264.60,66.68,209.10,906.69,-197.54,-734.82,-458.99,661.53,31.79,464.42,510.24,586.94,-892.10,1
-444.57,-503.67,-405.40,-107.21,-599.87,-347.47,91.18,119.82,-142.01,-520.95,-583.83,648.71,378.45,-18.44,763.47,-165.81,1
-581.35,-590.83,-640.00,-489.26,-133.44,-812.78,10.19,410.43,-369.25,-485.99,522.69,543.46,-187.72,850.44,-741.12,514.25,1
513.26,446.45,-477.00,585.64,718.82,-491.19,-345.12,645.40,495.12,878.60,-812.27,668.77,15.82,-142.54,-191.98,448.15,1
-508.97,-609.72,-575.93,-742.84,-102.54,-449.73,-399.46,-319.37,479.25,-137.99,-484.05,-105.54,237.93,-918.92,-62.23,-330.34,0
-358.58,-565.26,-591.32,980.52,568.19,-282.42,-235.17,592.71,772.19,216.89,-893.28,899.88,16.63,875.10,672.75,-786.26,0
542.10,729.47,-287.61,858.29,785.15,877.95,310.50,-271.62,-301.83,-26.09,-97.68,865.84,879.90,-495.47,503.67,-184.80,1
-489.46,-672.25,842.47,295.33,-792.46,101.76,-503.92,-175.89,-500.35,293.34,-291.43,357.29,607.94,454.10,-824.81,663.83,1
-324.96,-444.25,862.73,276.72,660.54,587.11,8.38,-530.67,549.22,-876.07,-30.76,-515.62,984.89,-148.79,-611.66,-575.62,0
536.71,524.06,268.39,86.14,-183.61,48.93,-742.09,-89.63,781.18,-191.17,-797.30,-289.59,932.37,792.75,980.84,676.62,1
-530.73,-727.38,-453.39,-305.60,-965.89,-974.67,-913.17,968.13,503.97,543.97,-3.67,908.04,-449.58,-394.60,-405.95,-24.47,1
-531.83,-604.57,698.27,919.54,-965.83,667.87,-486.89,479.65,693.89,-922.19,-136.09,558.57,736.81,-158.33,8.10,-440.70,1
470.49,524.52,-963.63,606.64,309.60,-722.31,-276.11,-159.85,-855.91,11.00,44.73,141.49,999.02,605.93,711.19,-792.23,1
422.68,583.91,463.05,-900.49,403.06,-731.27,-670.92,351.05,-783.15,616.30,-248.95,-81.86,829.77,973.30,-912.00,181.50,0
471.28,414.96,125.40,364.91,83.22,961.04,704.85,-638.45,-659.79,761.84,-6.83,-744.19,-259.74,925.30,-878.56,687.70,1
531.45,527.21,-160.27,522.48,921.90,-871.14,-703.25,592.73,-198.09,-240.38,-921.72,899.40,-409.73,788.44,-817.75,840.66,0
-480.54,-571.73,719.16,531.74,580.38,-947.99,202.60,741.91,566.70,-884.58,451.07,671.58,-880.34,-265.60,779.02,-441.98,1
465.26,479.16,-488.18,-787.83,-548.75,465.11,69.88,-714.19,-656.26,103.82,-918.49,605.50,497.23,-221.29,-66.85,16.76,1
-609.51,-498.00,660.06,-806.74,-831.93,-382.92,465.52,925.71,-824.31,-139.58,402.68,331.06,-632.09,-840.49,582.38,507.87,1
-364.26,-524.80,819.83,-330.48,-117.09,458.21,-902.50,472.51,-915.77,-863.06,-478.53,-151.62,875.79,-394.37,52.69,-357.32,1
-497.41,-622.38,-688.60,-46.21,74.32,-507.99,160.66,548.35,21.66,-826.05,-437.12,248.03,-506.45,-677.59,-801.56,506.16,1
-521.41,-669.54,-539.43,-256.43,-62.30,-784.24,-649.04,-653.58,-239.79,-782.64,-913.97,340.37,-183.90,-422.49,533.65,-700.54,1
538.09,494.09,-654.83,-728.29,565.27,-91.94,-518.54,283.30,-188.97,-202.29,760.43,-304.89,-694.24,834.74,-249.04,267.34,0
-517.66,-509.90,143.41,-415.09,-23.72,63.04,-517.42,-856.07,-426.13,-689.84,-366.90,290.13,-66.94,-157.46,-546.10,-243.66,0
239.89,482.01,433.30,-949.42,74.22,435.81,205.87,205.55,-874.56,-129.59,-32.47,-66.87,695.12,-349.79,572.77,198.51,1
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
463.48,476.90,621.42,-573.33,-270.31,-865.42,-979.05,-221.21,-664.54,158.65,-567.57,989.05,8.91,916.54,757.69,-234.27,0
546.45,397.03,396.73,-833.55,67.81,212.19,-104.47,940.02,57.78,411.03,951.46,-997.32,20.64,-960.09,827.20,-563.62,1
487.72,430.68,379.92,-53.37,-502.23,281.10,331.07,988.60,558.47,416.82,947.17,-380.18,68.88,261.29,-944.45,-737.84,0
-529.74,-589.18,-635.98,-941.44,-436.62,-713.64,-463.23,-972.81,482.67,-775.92,508.37,867.69,550.13,175.58,806.65,512.29,0
-420.42,-562.79,-399.30,-86.02,-462.66,-847.32,680.03,-254.54,-528.74,-676.88,424.33,-488.16,757.32,56.82,-40.74,233.62,0
-665.04,-617.51,-755.84,-648.87,-861.86,-657.50,-651.78,806.21,-59.72,-21.93,-100.57,618.87,-508.43,-998.54,-396.67,256.09,1
605.14,584.06,697.63,203.57,-484.53,-841.43,-780.12,-182.78,-366.50,978.85,772.50,816.14,-908.45,-185.21,723.31,51.79,0
514.05,653.46,-434.72,-599.13,898.69,-725.08,-563.25,389.95,-11.45,649.38,357.79,-630.76,390.79,473.88,-32.86,-986.26,1
-606.52,-563.72,592.44,-250.10,-297.07,-21.27,-930.22,902.73,887.73,-261.96,-701.68,892.65,-178.02,238.60,435.62,-464.13,1
-447.58,-446.45,751.03,260.39,-804.70,731.13,-13.43,195.54,680.71,982.10,705.92,400.09,145.53,249.13,725.80,-976.99,1
564.76,541.69,721.66,-616.30,956.72,265.83,-342.37,602.79,875.76,-499.39,-53.79,8.61,-799.13,-618.37,-662.84,-978.72,1
416.32,651.81,262.59,472.75,60.66,-846.98,791.89,-318.78,-794.92,-899.80,809.39,-487.09,617.86,338.09,805.65,-723.19,1
389.56,664.16,-76.86,-177.31,428.48,696.25,550.45,-952.49,40.47,-702.34,151.79,-779.93,707.99,607.23,146.82,669.07,0
-562.14,-666.68,618.96,-168.13,-430.42,-903.75,-791.25,564.24,133.60,431.25,-733.07,-965.97,122.16,925.05,-765.68,268.70,1
-646.68,-440.36,-187.61,-54.57,-291.57,176.38,-614.30,-295.87,908.83,-883.74,-740.91,-680.28,-41.17,439.55,-549.64,-921.84,1
-555.11,-356.75,-318.35,-183.55,820.23,94.30,-5.65,-376.38,938.47,271.17,431.94,280.51,182.05,-576.17,-310.78,-971.03,0
-334.32,-470.08,22.30,184.91,-711.69,-453.54,494.90,917.52,25.09,-364.83,217.59,-696.26,-238.26,-872.12,-373.37,649.57,0
483.74,540.59,-414.95,-217.08,-532.28,664.00,-329.45,378.20,276.62,584.21,-988.42,486.55,-590.05,184.02,236.80,-52.60,0
741.41,520.12,-977.95,-128.46,-353.41,-769.14,-697.56,658.95,493.16,480.63,-14.60,649.53,-934.79,710.21,890.88,489.45,0
448.19,402.54,701.90,521.59,5.75,363.45,256.96,-86.01,-786.51,391.22,373.77,862.74,127.76,884.82,401.89,711.34,1
-412.84,-557.14,-842.65,54.37,-38.12,-97.34,-496.27,-559.84,635.63,-540.35,-751.32,-922.39,712.84,35.63,225.00,106.28,0
-445.56,-426.59,-391.65,-388.53,-294.57,-738.73,-262.35,476.43,410.49,935.23,170.31,532.87,655.58,-85.99,-693.12,-501.11,1
-388.55,-785.89,-549.13,837.85,616.91,995.93,-518.72,-938.04,685.09,422.40,282.11,81.48,-431.19,912.38,-743.12,-760.49,0
608.22,438.14,-938.50,-538.48,604.09,-39.52,939.37,-24.77,545.89,17.37,-862.02,-136.54,662.53,-51.51,-181.91,-892.91,1
-416.17,-445.50,-65.52,669.36,-809.74,143.60,472.86,624.04,-968.90,227.72,880.93,-819.95,307.96,863.14,-233.11,645.64,1
521.81,561.47,-417.45,-431.17,10.85,139.82,247.97,-26.09,-901.34,-501.38,-651.26,823.62,224.09,-551.12,797.34,-609.13,0
60.62,528.93,-88.56,84.13,-816.18,-754.20,-793.42,694.58,-922.38,-487.29,569.68,-520.35,697.92,-719.70,581.99,-286.22,1
325.15,403.38,61.61,807.31,-694.23,388.39,-38.29,-902.51,-531.25,58.71,-866.28,-42.12,40.15,326.81,746.69,-299.68,1
461.97,533.80,490.93,341.64,894.34,91.85,902.05,285.71,726.19,-7.20,-579.70,-685.77,-545.84,-620.77,763.82,-783.11,1
612.65,509.78,-398.66,130.04,58.58,-98.69,934.05,-687.69,-653.43,288.54,729.84,918.48,-115.23,-845.12,-30.92,659.83,0
452.31,566.11,-459.97,844.31,643.17,749.92,970.96,464.02,854.51,-792.49,-678.81,-832.91,744.14,-28.79,276.85,-24.41,1
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
514.85,561.51,-239.40,202.34,592.12,-201.55,505.45,-392.73,-959.85,9.10,-115.40,-819.57,-67.06,342.30,-841.55,994.60,1
522.58,470.81,-303.95,528.95,65.21,825.14,853.06,165.90,-151.11,-273.14,144.93,917.78,-540.05,-663.65,-375.32,137.55,1
329.60,530.04,855.99,965.70,-15.61,649.74,843.55,-202.13,-732.21,-897.43,-67.00,-618.82,794.25,-116.26,-892.27,85.03,1
-382.43,-501.38,586.68,885.43,-684.32,-3.12,-163.91,421.30,-835.95,660.08,950.52,276.98,697.15,492.95,-763.73,2.72,0
592.93,658.62,97.54,490.90,-937.77,19.94,3.50,-288.66,603.13,-887.45,-250.44,-86.16,602.22,-187.48,73.40,-960.47,1
540.08,558.01,-521.89,-427.25,459.03,850.70,838.08,812.34,27.83,-535.02,603.02,-444.49,-866.28,642.75,813.83,795.36,1
491.95,489.74,-64.12,144.09,632.29,-415.98,357.38,220.00,-10.24,684.97,-243.70,-798.48,145.37,-909.40,-293.30,-876.26,1
-582.44,-422.59,355.05,564.51,-846.49,-79.90,-11.45,-641.12,-512.03,-209.39,355.77,-452.20,976.99,150.87,826.02,-284.74,1
-480.45,-302.20,856.73,822.87,744.12,-859.50,-77.60,-901.85,16.73,619.18,151.89,65.46,-774.58,293.25,-921.91,64.26,0
476.57,555.20,659.40,49.79,-982.92,-798.83,170.68,822.15,971.66,-198.47,-400.89,440.19,54.69,-861.29,436.81,-159.97,1
497.70,545.54,479.06,-705.85,-651.59,9.57,-988.56,792.40,299.34,675.77,-548.32,427.63,-258.19,56.80,-745.63,-454.96,0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
-398.35,-387.60,95.31,719.05,941.02,-548.71,-666.50,970.33,-232.71,-363.93,840.83,448.34,-6.97,59.80,-651.27,268.20,0
554.61,418.20,-144.21,-119.06,-829.78,-446.31,196.61,-260.19,689.76,60.34,404.88,-908.95,-201.60,-914.33,514.07,-715.43,1
283.75,516.12,-951.33,801.06,266.48,-697.62,-330.83,-180.36,121.64,757.16,438.07,-511.23,965.34,-564.91,-186.38,853.85,1
520.25,434.32,888.58,-780.95,-226.40,-908.34,824.58,967.67,-399.29,-381.15,-21.16,138.54,-294.62,210.42,112.76,-206.97,1
623.33,312.41,313.44,-546.73,178.79,-771.15,169.01,-555.54,752.32,680.34,844.06,-507.88,372.01,-428.38,990.47,898.04,1
-606.36,-545.79,-760.01,792.82,425.42,-827.31,-251.34,484.83,489.69,398.10,538.45,31.13,-519.88,-170.07,887.49,-684.69,0
643.24,590.02,70.77,-771.00,295.03,807.26,-259.09,925.77,-947.24,-141.18,-439.73,-303.49,-863.51,-627.57,391.52,333.42,0
446.85,620.87,-694.86,989.18,909.53,210.86,735.31,333.37,982.78,65.42,-997.89,687.34,451.95,716.47,-99.44,-334.73,1
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
458.90,710.25,-805.49,-175.71,-976.29,-391.49,-762.52,892.25,-74.91,-419.59,909.32,164.38,973.16,593.58,-674.87,-866.16,0
-543.60,-515.29,280.59,-379.76,726.65,-858.94,29.25,778.39,-251.43,699.74,339.75,911.61,509.29,-113.27,-730.34,-297.84,1
-459.75,-605.53,167.90,362.19,992.23,-429.54,617.55,281.34,626.82,986.91,482.61,255.10,-79.99,-653.82,160.32,74.60,1
-473.96,-644.44,-118.49,983.95,-25.81,622.28,195.69,111.89,-346.90,-688.90,-180.14,-261.06,846.47,530.58,124.40,423.62,1
440.42,480.82,-531.78,639.70,-312.80,785.83,-951.05,498.00,62.64,80.53,428.85,920.71,734.47,-133.74,-686.00,257.55,1
-515.23,-445.47,389.01,833.16,853.77,414.00,-617.02,50.11,245.61,616.78,-728.87,980.71,-52.18,-783.20,-313.47,115.83,1
375.22,467.62,371.53,98.54,411.81,996.47,59.20,-352.97,-495.99,261.76,-774.77,-81.88,-786.99,731.96,419.67,19.84,1
-406.59,-564.27,-563.38,827.45,-281.60,-889.52,287.61,311.12,636.85,-678.44,341.16,969.71,-485.30,412.42,766.33,619.04,0
-532.99,-585.13,581.85,130.84,-938.09,489.99,479.49,404.89,814.75,122.78,237.53,663.16,519.99,197.90,-3.10,861.33,1
-442.78,-500.35,-383.02,83.89,-733.29,-947.57,-224.41,-105.78,865.01,588.67,-569.07,84.54,-638.65,910.76,92.44,818.12,0
-443.19,-595.00,-669.32,-999.08,-118.56,-556.11,-420.31,759.05,323.29,-282.54,-688.54,-797.80,130.08,-973.14,-357.54,346.72,0
560.77,628.26,54.02,11.74,481.43,509.46,678.50,-220.62,22.03,667.14,-912.73,726.08,250.26,745.01,-954.34,960.36,1
-608.99,-533.91,-843.04,714.47,-405.39,337.83,348.17,548.52,161.21,-78.14,-839.05,932.56,785.74,-622.44,221.59,899.00,1
526.23,416.93,-573.78,786.87,-840.45,-984.78,-598.83,-789.95,516.24,-438.87,371.87,959.00,-819.39,-197.49,-123.70,12.10,1
-584.82,-520.82,732.38,806.61,-950.24,13.96,-275.65,-566.52,-190.56,846.92,506.82,-591.94,-275.14,618.30,-528.95,-473.86,1
449.24,530.32,41.53,280.71,394.38,-532.42,-262.69,-544.47,-125.80,-854.43,671.11,662.12,-629.48,-316.06,-941.99,769.25,0
444.74,502.98,187.69,-143.43,-200.60,-684.90,-618.48,-457.23,-488.36,-594.13,-309.07,-455.93,-57.43,467.21,-92.13,392.92,1
-650.46,-449.75,950.91,-191.45,-198.49,273.55,478.96,588.06,-83.50,656.02,797.00,961.77,980.97,-802.93,-927.13,803.50,0
562.29,796.62,642.07,-41.64,-930.60,-849.87,-556.10,-299.60,-391.78,-633.98,-63.87,-188.36,-459.85,46.77,530.32,-88.81,1
-501.23,-510.36,-683.50,-818.44,744.91,-917.08,-431.05,-114.62,-986.14,-222.66,-204.66,-201.65,-527.76,-680.05,487.75,33.68,1
-576.44,-552.72,-309.04,216.80,-196.46,-990.27,661.33,596.17,-158.53,-655.40,-155.75,638.92,220.35,-728.28,-195.82,511.48,1
329.01,569.36,617.20,662.10,-73.31,-119.19,-3.81,-864.78,-174.83,-591.19,477.54,-332.15,-615.96,-837.11,-931.32,370.02,0
334.74,547.04,-926.86,52.65,-911.19,-995.25,-328.82,592.67,531.26,761.03,149.19,-22.25,923.51,-132.97,369.53,-584.87,1
372.30,476.30,485.83,-331.28,-561.75,65.32,-716.23,599.53,-966.34,-106.67,649.99,649.88,-59.90,-749.87,-855.10,-171.18,0
416.04,369.33,-521.04,-980.78,-229.02,-749.27,-518.40,350.08,-365.72,975.70,123.61,717.92,160.71,-224.57,979.09,-530.12,0
341.25,421.46,-762.66,553.56,190.35,235.55,-877.40,933.52,331.88,604.01,226.37,269.07,-719.20,-844.90,420.08,337.35,1
-482.48,-613.16,38.62,-739.77,-396.52,-481.69,-497.50,646.08,109.03,200.77,-182.37,471.47,695.72,-226.34,522.43,128.54,0
-588.82,-534.69,265.90,-521.94,129.94,-302.26,720.13,0.43,107.31,134.12,17.52,705.14,-551.31,802.82,-635.73,213.84,1
537.83,433.36,-58.97,-325.04,361.97,-657.71,694.22,-900.85,993.31,755.05,315.09,-612.84,840.55,621.12,311.09,-441.53,1
626.70,812.50,338.35,-948.45,630.66,-912.34,-619.87,-39.53,-336.94,145.58,28.03,665.74,-397.98,797.82,916.20,-26.74,1
471.85,509.86,257.37,-201.05,-870.33,716.66,757.31,-809.13,-789.52,38.07,-388.86,-890.30,740.36,-799.53,-233.93,47.14,0
535.72,537.80,719.03,795.39,-18.57,-11.00,209.36,-867.67,-410.07,425.34,904.90,714.86,-178.19,-209.58,-484.28,313.19,1
-212.61,-517.89,-223.52,387.14,323.11,367.02,-405.31,-15.25,-249.07,820.26,-15.80,-725.96,112.15,174.80,5.81,110.68,1
-364.38,-351.14,467.37,370.31,727.05,-47.21,-355.85,20.01,122.95,-167.80,-493.19,216.41,-972.62,-982.00,3.64,-415.76,1
607.03,658.65,216.28,-214.46,-769.34,436.03,-431.40,-453.98,-965.93,576.00,-264.88,-935.45,851.77,-772.08,-939.38,585.97,1
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
-547.90,-497.74,819.68,-914.83,-678.98,717.94,939.83,148.71,-332.48,-641.01,-468.90,752.91,-601.08,708.09,845.12,-243.14,1
-602.86,-389.77,-797.16,781.59,804.78,62.20,-946.81,787.36,-462.98,182.23,-663.21,-689.97,-866.48,600.52,662.81,-998.48,1
421.89,327.83,340.62,201.01,-415.02,453.02,-681.20,406.89,331.83,826.75,-676.38,-878.60,-728.67,-518.23,-123.03,566.67,0
659.16,421.83,201.25,39.14,45.98,781.99,869.13,911.11,243.56,666.61,-732.51,751.98,-32.48,-270.03,-192.72,883.26,1
-578.04,-422.03,-739.25,591.52,293.69,389.25,-421.73,272.39,-928.68,185.64,910.02,210.81,-344.89,-489.25,-833.88,-929.20,1
-479.89,-409.66,265.03,421.35,-511.35,18.76,447.44,-312.98,605.69,410.35,755.81,612.08,921.45,-139.70,-817.19,-855.95,0
-489.51,-446.57,258.40,-557.83,103.41,708.15,317.28,518.09,378.48,-129.55,534.86,684.35,484.66,831.23,-537.92,587.04,0
526.51,728.89,-811.85,706.22,-856.95,334.58,-288.15,-867.44,876.22,-984.14,-298.01,566.65,-866.36,452.16,-3.32,475.09,1
-631.65,-485.54,-990.10,-425.61,-353.56,764.00,-942.72,610.45,-673.49,653.18,951.54,441.94,-48.12,863.32,-963.87,502.49,0
653.99,688.93,478.09,-861.48,-326.78,324.12,-453.20,754.24,-570.14,161.53,-429.13,-541.83,-282.01,262.84,-522.11,-86.96,1
-505.39,-391.58,656.51,-959.51,-469.04,-787.55,-319.70,238.58,-525.65,568.54,981.98,0.93,-569.25,891.18,605.09,-412.31,1
-435.12,-660.19,869.17,-7.41,896.30,-136.79,31.05,-407.88,-835.54,-164.93,730.28,-272.29,-592.28,-650.21,232.13,127.13,0
-577.38,-566.47,-962.43,-471.51,-268.67,-952.83,-905.99,-659.93,-968.72,-817.02,348.22,175.51,824.70,-227.56,-319.36,-489.38,0
-411.54,-668.28,149.25,-864.75,-17.20,1.55,245.49,-329.89,832.00,-692.39,-729.95,-706.06,-420.96,770.56,713.26,-102.33,1
-454.51,-475.04,-854.60,-878.72,157.77,398.85,513.30,-201.81,-369.48,428.57,-755.11,913.43,277.40,212.25,-276.25,894.48,1
